puma,month,day_group,ridership
4307,7,weekday,1493094.67
4307,7,weekend,361540.0
4308,7,total,296904.33
4308,7,weekday,241718.33
4308,7,weekend,55186.0
4309,7,total,2069757.66
4309,7,weekday,1668747.34
4309,7,weekend,401010.33
4310,7,total,665810.99
4310,7,weekday,572313.0
4310,7,weekend,93498.0
4311,7,total,1574375.66
4311,7,weekday,1282512.66
4311,7,weekend,291863.0
4312,7,total,922785.67
4312,7,weekday,764984.33
4312,7,weekend,157801.34
4313,7,total,1305331.0
4313,7,weekday,955931.34
4313,7,weekend,349399.67
4314,7,total,1846103.0
4314,7,weekday,1524904.0
4314,7,weekend,321199.0
4315,7,total,1317625.67
4315,7,weekday,1092763.32
4315,7,weekend,224862.32
4316,7,total,1354791.5
4316,7,weekday,1096683.34
4316,7,weekend,258108.17
4317,7,total,502399.67
4317,7,weekday,435447.0
4317,7,weekend,66952.67
4318,7,total,293467.0
4318,7,weekday,248435.67
4318,7,weekend,45031.33
4401,7,total,2886142.17
4401,7,weekday,2486659.33
4401,7,weekend,399482.84
4402,7,total,3381829.32
4402,7,weekday,2782689.67
4402,7,weekend,599139.65
4403,7,total,1138986.99
4403,7,weekday,899767.0
4403,7,weekend,239220.0
4404,7,total,4589963.32
4404,7,weekday,3677073.33
4404,7,weekend,912889.99
