complex_id,month,day_group,ridership
364,1,total,66268.0
364,1,weekday,57833.5
364,1,weekend,8434.5
365,1,total,165696.5
365,1,weekday,141422.0
365,1,weekend,24274.5
366,1,total,393712.5
366,1,weekday,336128.0
366,1,weekend,57584.5
367,1,total,104588.0
367,1,weekday,87191.5
367,1,weekend,17396.5
368,1,total,162024.0
368,1,weekday,136770.5
368,1,weekend,25253.5
369,1,total,164186.5
369,1,weekday,136665.0
369,1,weekend,27521.5
370,1,total,48937.0
370,1,weekday,41491.0
370,1,weekend,7446.0
371,1,total,263786.5
371,1,weekday,227712.0
371,1,weekend,36074.5
372,1,total,85220.5
372,1,weekday,73541.0
372,1,weekend,11679.5
373,1,total,124679.0
373,1,weekday,105520.5
373,1,weekend,19158.5
374,1,total,25179.5
374,1,weekday,22389.5
374,1,weekend,2790.0
375,1,total,93803.5
375,1,weekday,80291.0
375,1,weekend,13512.5
376,1,total,157470.5
376,1,weekday,131525.0
376,1,weekend,25945.5
377,1,total,203000.5
377,1,weekday,171748.0
377,1,weekend,31252.5
378,1,total,167913.5
378,1,weekday,142880.0
378,1,weekend,25033.5
379,1,total,204658.5
379,1,weekday,175393.5
379,1,weekend,29265.0
380,1,total,125044.0
380,1,weekday,108380.0
380,1,weekend,16664.0
381,1,total,219207.0
381,1,weekday,186833.0
381,1,weekend,32374.0
382,1,total,256280.5
382,1,weekday,213976.0
382,1,weekend,42304.5
383,1,total,146396.5
383,1,weekday,122054.5
383,1,weekend,24342.0
384,1,total,249557.5
384,1,weekday,210324.5
384,1,weekend,39233.0
385,1,total,137504.5
385,1,weekday,118194.0
385,1,weekend,19310.5
386,1,total,122901.5
386,1,weekday,106113.0
386,1,weekend,16788.5
387,1,total,196171.0
387,1,weekday,167711.5
387,1,weekend,28459.5
388,1,total,214188.0
388,1,weekday,184138.5
388,1,weekend,30049.5
391,1,total,77034.5
391,1,weekday,68662.0
391,1,weekend,8372.5
392,1,total,689745.5
392,1,weekday,587919.5
392,1,weekend,101826.0
393,1,total,380846.5
393,1,weekday,314202.0
393,1,weekend,66644.5
394,1,total,284038.0
394,1,weekday,238687.0
394,1,weekend,45351.0
395,1,total,340433.5
395,1,weekday,291038.5
395,1,weekend,49395.0
396,1,total,435050.5
396,1,weekday,380719.5
396,1,weekend,54331.0
397,1,total,1090648.0
397,1,weekday,922621.5
397,1,weekend,168026.5
398,1,total,651082.0
398,1,weekday,557648.0
398,1,weekend,93434.0
399,1,total,499110.0
399,1,weekday,446772.5
399,1,weekend,52337.5
403,1,total,748060.5
403,1,weekday,664689.5
403,1,weekend,83371.0
404,1,total,230157.0
404,1,weekday,210273.0
404,1,weekend,19884.0
405,1,total,675372.0
405,1,weekday,609602.0
405,1,weekend,65770.0
407,1,total,409218.0
407,1,weekday,334307.5
407,1,weekend,74910.5
409,1,total,278781.5
409,1,weekday,216975.0
409,1,weekend,61806.5
413,1,total,465979.5
413,1,weekday,423543.0
413,1,weekend,42436.5
414,1,total,675022.5
414,1,weekday,624063.0
414,1,weekend,50959.5
416,1,total,123929.5
416,1,weekday,104042.5
416,1,weekend,19887.0
417,1,total,84281.5
417,1,weekday,73492.5
417,1,weekend,10789.0
418,1,total,120535.0
418,1,weekday,102786.0
418,1,weekend,17749.0
419,1,total,100330.0
419,1,weekday,85241.5
419,1,weekend,15088.5
420,1,total,81357.5
420,1,weekday,69408.5
420,1,weekend,11949.0
421,1,total,178403.5
421,1,weekday,149867.5
421,1,weekend,28536.0
422,1,total,80527.5
422,1,weekday,68608.5
422,1,weekend,11919.0
423,1,total,127878.5
423,1,weekday,107859.5
423,1,weekend,20019.0
424,1,total,208967.5
424,1,weekday,176570.5
424,1,weekend,32397.0
425,1,total,60022.5
425,1,weekday,52194.0
425,1,weekend,7828.5
426,1,total,187415.0
426,1,weekday,154815.0
426,1,weekend,32600.0
427,1,total,170611.5
427,1,weekday,145634.5
427,1,weekend,24977.0
428,1,total,171176.5
