puma,month,entries,exits
4314,3,2040315.6666666665,1420845.6666666667
4314,4,1953163.3333333333,1389684.0
4314,5,2106670.0,1513632.6666666667
4314,6,1957227.6666666667,1410007.3333333335
4314,7,1831397.6666666667,1359351.0
4314,8,1860952.6666666667,1365180.0
4314,9,1938037.6666666667,1416833.0
4314,10,2069791.6666666665,1496205.6666666667
4314,11,1890375.0,1350002.6666666667
4314,12,1863491.3333333333,1325448.3333333335
4315,1,1344349.0,979632.6666666666
4315,2,1249840.3333333333,904190.0
4315,3,1420541.3333333333,1031864.3333333333
4315,4,1368364.0,1007548.3333333334
4315,5,1476256.6666666665,1091879.6666666667
4315,6,1406529.0,1047674.0
4315,7,1331629.6666666667,1008759.3333333334
4315,8,1340375.0,1002342.0
4315,9,1369524.0,1031523.3333333333
4315,10,1483542.3333333333,1107145.6666666665
4315,11,1361843.3333333333,1016964.3333333334
4315,12,1334895.0,983282.3333333333
4316,1,1451783.0,1164809.6666666667
4316,2,1376205.6666666665,1096681.0
4316,3,1561253.6666666667,1244886.3333333333
4316,4,1465064.0,1182950.0
4316,5,1578529.6666666667,1270705.0
4316,6,1450168.0,1191529.3333333333
4316,7,1398440.0,1178057.6666666667
4316,8,1421464.0,1206900.0
4316,9,1461189.3333333333,1218160.0
4316,10,1582087.0,1300645.3333333333
4316,11,1459372.0,1204526.3333333333
4316,12,1411851.3333333333,1162080.6666666667
4317,1,528700.0,197463.0
4317,2,510454.6666666667,189999.3333333333
4317,3,582693.0,217881.33333333334
4317,4,552418.6666666666,205787.66666666666
4317,5,590279.3333333334,221010.6666666667
4317,6,544938.6666666666,202911.33333333334
4317,7,511387.6666666667,184136.33333333334
4317,8,534598.6666666667,198132.66666666666
4317,9,524689.0,191900.66666666666
4317,10,582458.3333333333,215043.6666666667
4317,11,558110.0,210920.6666666667
4317,12,534001.3333333333,200180.66666666666
4318,1,302149.3333333333,77143.0
4318,2,279977.0,68679.66666666667
4318,3,316024.6666666667,77770.66666666667
4318,4,303952.0,71597.33333333333
4318,5,332575.3333333333,145722.0
4318,6,315431.6666666667,175092.33333333334
4318,7,297720.3333333333,193990.33333333334
4318,8,314998.0,249375.33333333334
4318,9,305069.6666666667,183374.0
4318,10,325818.0,190641.66666666666
4318,11,294439.3333333333,165416.66666666666
4318,12,277576.6666666667,155147.66666666666
4401,1,2967981.75,2371994.3333333335
4401,2,2758011.6666666665,2188511.916666667
4401,3,3220176.9166666665,2531007.3333333335
4401,4,3190124.5,2508428.9166666665
4401,5,3341662.4166666665,2576097.5
4401,6,3153226.25,2452589.8333333335
4401,7,2984331.0,2366029.5
4401,8,2999351.6666666665,2397839.1666666665
4401,9,3085793.75,2440316.9166666665
4401,10,3433093.5833333335,2680799.5
4401,11,3245634.5833333335,2513783.9166666665
4401,12,3182267.4166666665,2475962.3333333335
4402,1,3291088.0,2568889.0
4402,2,3081755.0,2374945.3333333335
4402,3,3590945.666666667,2749203.0
4402,4,3488872.3333333335,2728373.3333333335
