complex_id,year,month,period,day_group,ridership,omny_pct
149,2020,7,2020-07-01,weekday,27267.0,8.53
149,2020,7,2020-07-01,weekend,5406.0,10.28
150,2020,7,2020-07-01,total,18363.0,8.76
150,2020,7,2020-07-01,weekday,15155.0,8.28
150,2020,7,2020-07-01,weekend,3208.0,11.0
151,2020,7,2020-07-01,total,167748.0,9.51
151,2020,7,2020-07-01,weekday,132912.0,9.21
151,2020,7,2020-07-01,weekend,34836.0,10.67
152,2020,7,2020-07-01,total,32745.0,10.86
152,2020,7,2020-07-01,weekday,28194.0,10.46
152,2020,7,2020-07-01,weekend,4551.0,13.36
153,2020,7,2020-07-01,total,217627.0,8.4
153,2020,7,2020-07-01,weekday,176268.0,8.06
153,2020,7,2020-07-01,weekend,41359.0,9.86
154,2020,7,2020-07-01,total,45299.0,9.65
154,2020,7,2020-07-01,weekday,37172.0,9.08
154,2020,7,2020-07-01,weekend,8127.0,12.28
155,2020,7,2020-07-01,total,46365.0,10.4
155,2020,7,2020-07-01,weekday,37986.0,9.7
155,2020,7,2020-07-01,weekend,8379.0,13.56
156,2020,7,2020-07-01,total,28747.0,9.24
156,2020,7,2020-07-01,weekday,23671.0,8.75
156,2020,7,2020-07-01,weekend,5076.0,11.51
157,2020,7,2020-07-01,total,60049.0,8.14
157,2020,7,2020-07-01,weekday,51781.0,7.62
157,2020,7,2020-07-01,weekend,8268.0,11.39
158,2020,7,2020-07-01,total,50591.0,7.54
158,2020,7,2020-07-01,weekday,43259.0,6.96
158,2020,7,2020-07-01,weekend,7332.0,10.98
159,2020,7,2020-07-01,total,45856.0,8.52
159,2020,7,2020-07-01,weekday,38496.0,7.8
159,2020,7,2020-07-01,weekend,7360.0,12.28
160,2020,7,2020-07-01,total,40863.0,9.2
160,2020,7,2020-07-01,weekday,34118.0,8.17
160,2020,7,2020-07-01,weekend,6745.0,14.44
162,2020,7,2020-07-01,total,83474.0,10.9
162,2020,7,2020-07-01,weekday,68755.0,10.04
162,2020,7,2020-07-01,weekend,14719.0,14.91
164,2020,7,2020-07-01,total,366954.0,8.64
164,2020,7,2020-07-01,weekday,312426.0,8.18
164,2020,7,2020-07-01,weekend,54528.0,11.25
165,2020,7,2020-07-01,total,105854.0,7.79
165,2020,7,2020-07-01,weekday,90220.0,7.18
165,2020,7,2020-07-01,weekend,15634.0,11.3
167,2020,7,2020-07-01,total,186961.0,9.45
167,2020,7,2020-07-01,weekday,150059.0,8.82
167,2020,7,2020-07-01,weekend,36902.0,11.99
168,2020,7,2020-07-01,total,53265.0,11.74
168,2020,7,2020-07-01,weekday,45616.0,11.03
168,2020,7,2020-07-01,weekend,7649.0,15.95
169,2020,7,2020-07-01,total,77243.0,8.52
169,2020,7,2020-07-01,weekday,67083.0,7.95
169,2020,7,2020-07-01,weekend,10160.0,12.3
173,2020,7,2020-07-01,total,39795.0,10.48
173,2020,7,2020-07-01,weekday,32895.0,9.83
173,2020,7,2020-07-01,weekend,6900.0,13.59
175,2020,7,2020-07-01,total,75511.0,7.63
175,2020,7,2020-07-01,weekday,62026.0,7.08
175,2020,7,2020-07-01,weekend,13485.0,10.17
176,2020,7,2020-07-01,total,29075.0,9.5
176,2020,7,2020-07-01,weekday,22869.0,8.92
176,2020,7,2020-07-01,weekend,6206.0,11.65
177,2020,7,2020-07-01,total,27244.0,8.92
177,2020,7,2020-07-01,weekday,22513.0,8.36
177,2020,7,2020-07-01,weekend,4731.0,11.6
179,2020,7,2020-07-01,total,112830.0,6.89
179,2020,7,2020-07-01,weekday,91173.0,6.5
179,2020,7,2020-07-01,weekend,21657.0,8.53
180,2020,7,2020-07-01,total,38380.0,8.44
180,2020,7,2020-07-01,weekday,31074.0,7.87
180,2020,7,2020-07-01,weekend,7306.0,10.85
181,2020,7,2020-07-01,total,113653.0,6.9
181,2020,7,2020-07-01,weekday,91743.0,6.68
181,2020,7,2020-07-01,weekend,21910.0,7.84
182,2020,7,2020-07-01,total,46928.0,7.89
182,2020,7,2020-07-01,weekday,37745.0,7.57
182,2020,7,2020-07-01,weekend,9183.0,9.23
183,2020,7,2020-07-01,total,45203.0,9.04
183,2020,7,2020-07-01,weekday,37148.0,8.53
183,2020,7,2020-07-01,weekend,8055.0,11.4
185,2020,7,2020-07-01,total,20609.0,5.45
185,2020,7,2020-07-01,weekday,17195.0,5.4
185,2020,7,2020-07-01,weekend,3414.0,5.68
186,2020,7,2020-07-01,total,28282.0,5.94
186,2020,7,2020-07-01,weekday,23286.0,5.79
186,2020,7,2020-07-01,weekend,4996.0,6.67
187,2020,7,2020-07-01,total,27814.0,5.9
187,2020,7,2020-07-01,weekday,23024.0,5.85
187,2020,7,2020-07-01,weekend,4790.0,6.12
188,2020,7,2020-07-01,total,98638.0,5.52
188,2020,7,2020-07-01,weekday,80847.0,5.34
188,2020,7,2020-07-01,weekend,17791.0,6.36
189,2020,7,2020-07-01,total,50452.0,0.0
189,2020,7,2020-07-01,weekday,41894.0,0.0
189,2020,7,2020-07-01,weekend,8558.0,0.0
190,2020,7,2020-07-01,total,32862.0,0.0
190,2020,7,2020-07-01,weekday,27727.0,0.0
190,2020,7,2020-07-01,weekend,5135.0,0.0
191,2020,7,2020-07-01,total,23735.0,0.0
191,2020,7,2020-07-01,weekday,20284.0,0.0
191,2020,7,2020-07-01,weekend,3451.0,0.0
192,2020,7,2020-07-01,total,65960.0,0.0
192,2020,7,2020-07-01,weekday,53986.0,0.0
192,2020,7,2020-07-01,weekend,11974.0,0.0
193,2020,7,2020-07-01,total,15151.0,0.0
193,2020,7,2020-07-01,weekday,13504.0,0.0
193,2020,7,2020-07-01,weekend,1647.0,0.0
194,2020,7,2020-07-01,total,20930.0,0.0
194,2020,7,2020-07-01,weekday,18821.0,0.0
194,2020,7,2020-07-01,weekend,2109.0,0.0
195,2020,7,2020-07-01,total,67794.0,0.0
195,2020,7,2020-07-01,weekday,59903.0,0.0
195,2020,7,2020-07-01,weekend,7891.0,0.0
196,2020,7,2020-07-01,total,1149.0,0.0
196,2020,7,2020-07-01,weekday,983.0,0.0
196,2020,7,2020-07-01,weekend,166.0,0.0
197,2020,7,2020-07-01,total,5966.0,0.0
197,2020,7,2020-07-01,weekday,5263.0,0.0
197,2020,7,2020-07-01,weekend,703.0,0.0
198,2020,7,2020-07-01,total,12156.0,5.38
198,2020,7,2020-07-01,weekday,9668.0,5.36
198,2020,7,2020-07-01,weekend,2488.0,5.47
199,2020,7,2020-07-01,total,2488.0,0.0
199,2020,7,2020-07-01,weekday,2012.0,0.0
199,2020,7,2020-07-01,weekend,476.0,0.0
200,2020,7,2020-07-01,total,15157.0,0.0
200,2020,7,2020-07-01,weekday,9130.0,0.0
200,2020,7,2020-07-01,weekend,6027.0,0.0
201,2020,7,2020-07-01,total,7108.0,0.0
201,2020,7,2020-07-01,weekday,4039.0,0.0
201,2020,7,2020-07-01,weekend,3069.0,0.0
202,2020,7,2020-07-01,total,6554.0,0.0
202,2020,7,2020-07-01,weekday,3160.0,0.0
202,2020,7,2020-07-01,weekend,3394.0,0.0
203,2020,7,2020-07-01,total,14519.0,0.0
203,2020,7,2020-07-01,weekday,8600.0,0.0
203,2020,7,2020-07-01,weekend,5919.0,0.0
204,2020,7,2020-07-01,total,30964.0,0.0
