complex_id,station_name,year,month,entries,exits
4,"Broadway (N,W)",2018,4,423251.0,252371.0
4,"Broadway (N,W)",2018,5,438801.0,272950.0
4,"Broadway (N,W)",2018,6,351080.0,221942.0
4,"Broadway (N,W)",2018,7,69.0,248.0
4,"Broadway (N,W)",2019,1,59836.0,69820.0
4,"Broadway (N,W)",2019,2,214115.0,211415.0
4,"Broadway (N,W)",2019,3,247269.0,232040.0
4,"Broadway (N,W)",2019,4,257070.0,244558.0
4,"Broadway (N,W)",2019,5,307354.0,296476.0
4,"Broadway (N,W)",2019,6,260689.0,249180.0
4,"Broadway (N,W)",2019,7,247252.0,241056.0
4,"Broadway (N,W)",2019,8,284720.0,253743.0
4,"Broadway (N,W)",2019,9,296870.0,288684.0
4,"Broadway (N,W)",2019,10,296068.0,278800.0
4,"Broadway (N,W)",2019,11,297025.0,292864.0
4,"Broadway (N,W)",2019,12,288141.0,282781.0
5,"36 Av (N,W)",2015,1,180730.0,141848.0
5,"36 Av (N,W)",2015,2,174032.0,145554.0
5,"36 Av (N,W)",2015,3,208443.0,180255.0
5,"36 Av (N,W)",2015,4,203665.0,180075.0
5,"36 Av (N,W)",2015,5,208835.0,174590.0
5,"36 Av (N,W)",2015,6,205266.0,168920.0
5,"36 Av (N,W)",2015,7,202164.0,170150.0
5,"36 Av (N,W)",2015,8,193081.0,160166.0
5,"36 Av (N,W)",2015,9,202450.0,163330.0
5,"36 Av (N,W)",2015,10,220606.0,176875.0
5,"36 Av (N,W)",2015,11,199006.0,157914.0
5,"36 Av (N,W)",2015,12,202996.0,155535.0
5,"36 Av (N,W)",2016,1,184865.0,144569.0
5,"36 Av (N,W)",2016,2,185450.0,141874.0
5,"36 Av (N,W)",2016,3,207683.0,157450.0
5,"36 Av (N,W)",2016,4,197790.0,151530.0
5,"36 Av (N,W)",2016,5,206627.0,156182.0
5,"36 Av (N,W)",2016,6,203892.0,157798.0
5,"36 Av (N,W)",2016,7,186326.0,148908.0
5,"36 Av (N,W)",2016,8,191097.0,148286.0
5,"36 Av (N,W)",2016,9,198488.0,153810.0
5,"36 Av (N,W)",2016,10,200867.0,159603.0
5,"36 Av (N,W)",2016,11,197120.0,151179.0
5,"36 Av (N,W)",2016,12,190093.0,143576.0
5,"36 Av (N,W)",2017,1,187052.0,142576.0
5,"36 Av (N,W)",2017,2,172930.0,134010.0
5,"36 Av (N,W)",2017,3,194678.0,148866.0
5,"36 Av (N,W)",2017,4,185272.0,141248.0
5,"36 Av (N,W)",2017,5,173586.0,131812.0
5,"36 Av (N,W)",2017,6,176164.0,137867.0
5,"36 Av (N,W)",2017,7,173888.0,137806.0
5,"36 Av (N,W)",2017,8,147921.0,111850.0
5,"36 Av (N,W)",2017,9,151416.0,114118.0
5,"36 Av (N,W)",2017,10,119651.0,108600.0
5,"36 Av (N,W)",2018,6,45474.0,44323.0
5,"36 Av (N,W)",2018,7,221753.0,252359.0
5,"36 Av (N,W)",2018,8,235614.0,250614.0
5,"36 Av (N,W)",2018,9,214361.0,220998.0
5,"36 Av (N,W)",2018,10,286168.0,282645.0
5,"36 Av (N,W)",2018,11,247106.0,250544.0
5,"36 Av (N,W)",2018,12,216779.0,227663.0
5,"36 Av (N,W)",2019,1,232755.0,244283.0
5,"36 Av (N,W)",2019,2,140357.0,138970.0
5,"36 Av (N,W)",2019,3,151059.0,148999.0
5,"36 Av (N,W)",2019,4,149580.0,150983.0
5,"36 Av (N,W)",2019,5,174596.0,183584.0
5,"36 Av (N,W)",2019,6,143958.0,148164.0
5,"36 Av (N,W)",2019,7,137671.0,146544.0
5,"36 Av (N,W)",2019,8,154119.0,149921.0
5,"36 Av (N,W)",2019,9,164083.0,175327.0
5,"36 Av (N,W)",2019,10,167006.0,171220.0
5,"36 Av (N,W)",2019,11,165435.0,177293.0
5,"36 Av (N,W)",2019,12,160290.0,170083.0
6,"39 Av-Dutch Kills (N,W)",2015,1,76652.0,60700.0
6,"39 Av-Dutch Kills (N,W)",2015,2,74187.0,66088.0
6,"39 Av-Dutch Kills (N,W)",2015,3,91487.0,93727.0
6,"39 Av-Dutch Kills (N,W)",2015,4,94977.0,90779.0
6,"39 Av-Dutch Kills (N,W)",2015,5,98244.0,85099.0
6,"39 Av-Dutch Kills (N,W)",2015,6,95617.0,78685.0
6,"39 Av-Dutch Kills (N,W)",2015,7,96386.0,76415.0
6,"39 Av-Dutch Kills (N,W)",2015,8,94821.0,74940.0
6,"39 Av-Dutch Kills (N,W)",2015,9,92484.0,67209.0
6,"39 Av-Dutch Kills (N,W)",2015,10,100709.0,72806.0
6,"39 Av-Dutch Kills (N,W)",2015,11,85493.0,62457.0
6,"39 Av-Dutch Kills (N,W)",2015,12,92688.0,65595.0
6,"39 Av-Dutch Kills (N,W)",2016,1,72906.0,53944.0
6,"39 Av-Dutch Kills (N,W)",2016,2,72856.0,51616.0
6,"39 Av-Dutch Kills (N,W)",2016,3,88304.0,61297.0
6,"39 Av-Dutch Kills (N,W)",2016,4,87922.0,61306.0
6,"39 Av-Dutch Kills (N,W)",2016,5,93999.0,62385.0
6,"39 Av-Dutch Kills (N,W)",2016,6,94933.0,61005.0
6,"39 Av-Dutch Kills (N,W)",2016,7,86455.0,61370.0
6,"39 Av-Dutch Kills (N,W)",2016,8,92085.0,62182.0
6,"39 Av-Dutch Kills (N,W)",2016,9,87599.0,57200.0
6,"39 Av-Dutch Kills (N,W)",2016,10,88776.0,60016.0
6,"39 Av-Dutch Kills (N,W)",2016,11,85603.0,53494.0
6,"39 Av-Dutch Kills (N,W)",2016,12,84897.0,53891.0
6,"39 Av-Dutch Kills (N,W)",2017,1,75200.0,48605.0
6,"39 Av-Dutch Kills (N,W)",2017,2,67105.0,45327.0
6,"39 Av-Dutch Kills (N,W)",2017,3,79431.0,51849.0
6,"39 Av-Dutch Kills (N,W)",2017,4,82964.0,52895.0
6,"39 Av-Dutch Kills (N,W)",2017,5,73810.0,46756.0
6,"39 Av-Dutch Kills (N,W)",2017,6,77567.0,52901.0
6,"39 Av-Dutch Kills (N,W)",2017,7,77899.0,53353.0
6,"39 Av-Dutch Kills (N,W)",2017,8,68705.0,45671.0
6,"39 Av-Dutch Kills (N,W)",2017,9,62714.0,42595.0
6,"39 Av-Dutch Kills (N,W)",2017,10,96002.0,65180.0
6,"39 Av-Dutch Kills (N,W)",2017,11,128426.0,80198.0
6,"39 Av-Dutch Kills (N,W)",2017,12,113984.0,80595.0
6,"39 Av-Dutch Kills (N,W)",2018,1,114598.0,64313.0
6,"39 Av-Dutch Kills (N,W)",2018,2,105205.0,65849.0
6,"39 Av-Dutch Kills (N,W)",2018,3,114937.0,66568.0
6,"39 Av-Dutch Kills (N,W)",2018,4,115893.0,69921.0
6,"39 Av-Dutch Kills (N,W)",2018,5,127138.0,77632.0
6,"39 Av-Dutch Kills (N,W)",2018,6,99775.0,61320.0
6,"39 Av-Dutch Kills (N,W)",2018,7,32.0,102.0
6,"39 Av-Dutch Kills (N,W)",2019,1,5091.0,8180.0
6,"39 Av-Dutch Kills (N,W)",2019,2,42382.0,48240.0
6,"39 Av-Dutch Kills (N,W)",2019,3,57992.0,58961.0
6,"39 Av-Dutch Kills (N,W)",2019,4,66014.0,68137.0
6,"39 Av-Dutch Kills (N,W)",2019,5,79621.0,83039.0
